Malay Comments,Google Translate,Bing Translate
"Layanan staf amat mesra menjadikan kami sekeluarga sangat selesa menginap di sini. Dekorasi hotel amat menarik dan agak berbeza daripada hotel hotel yang pernah diinap sebelum ini. Layanan di spa satu pengalaman yang menenangkan. Hotel ini terletak hampir dengan klcc, boleh berjalan kaki atau menyewa buggy (juga pengalaman menarik).
Tip Penarik Perhatian/Pemandangan: Jika pilih bilik menghadap klcc, pemandangan amat menarik dapat disaksikan diwaktu malam kerana dapat melihat limpahan cahaya dari klcc","Service is very friendly staff made ??us very comfortable family stay. Decoration of the hotel is very interesting and quite different from the hotel occupancy hotel ever before. Services in a relaxing spa experience. Hotel is located close to klcc, can walk or rent buggy (also an interesting experience). 
Tip Puller Attention / Sights: If select room facing klcc, very interesting views can be seen at night because you can see the light spill from klcc ","""Staff very friendly Service made us family very comfortable staying here. The hotel decor is very interesting and quite different from hotel hotel diinap ever before. Hospitality in a relaxing spa experience. This Hotel is located close to klcc, can walk or rent a buggy (also interesting experience). Sightseeing/attractions Tip: If you select which overlook the klcc, great views was evident during the night to be able to see the spill light from klcc """
kami sekeluarga menginap untuk semalam dan mendapati hotel ini amat memuaskan hati kami. berdekatan dengan klcc membolehkan kami sekeluarga pergi menikmati makan tengahari dan makan malam dengan mudah. bilik yang ditempah yang mengadap klcc memberi pemandangan yang indah terutamanya di waktu senja.,"Our family stayed one night and found this hotel very much to our satisfaction. near klcc allow our family to go enjoy lunch and dinner with ease. booked rooms facing klcc give beautiful views, especially at sunset.",would our family for today and found this hotel very satisfying our hearts. close to klcc allows WiFi go enjoy lunch and dinner with ease. the booked rooms are klcc facing provide magnificent views especially at dusk.
Bilik sederhana besar tetapi bersih. Sarapan pagi yang bagus banyak pilihan makanan. Tempat hiburan hanya di tingkat bawah hotel (Hard Rock Cafe) Kuala Lumpur. Menara Kuala Lumpur berhampiran. Stesen Monorail Bukit Nenas hanya 100m daripada hotel,Mid-sized room but clean. Good breakfast food options. Places of entertainment only on the ground floor of the hotel (Hard Rock Cafe) Kuala Lumpur. Menara Kuala Lumpur nearby. Bukit Nenas Monorail Station is only 100m from the hotel,Simple rooms but clean. Breakfast a nice large selection of food. Entertainment venues is only on the ground floor hotel (Hard Rock Cafe). The Kuala Lumpur Tower. Bukit Nenas Monorail station just 100 m from the hotel
" Hotel berada di lokasi membeli belah terkemuka iaitu Pavillion, Lot10. amat sesuai untuk pasangan suami isteri yang ingin membeli belah. tidak berapa sesuai untuk membawa anak anak yang ramai kerana saiz biliknya yang agak kecil dan susun atur singki dan bilik airnya yang agak pelik.Sungguh baik layanan dan memuaskan,biliknya sungguh memuaskan lengkap dan apabila kami minta sesuatu kami dilayan dengan baik","Hotel is on the top of a shopping Pavillion, Lot10. very suitable for couples who want to go shopping. is not feasible to bring children who are due to the relatively small size of the room and the room layout and the water sinks rather pelik.Sungguh good and satisfactory service, the room was so full and satisfying when we ask for something we were treated well","Hotel located in leading shopping, Pavillion, Lot10. is suitable for couples who would like to buy. not quite suitable for carrying children that many because the size of the rooms are relatively small and the layout of the sink and its bizarre rooms.Very good and satisfactory, rooms very good and when we requested something we treated well"
"saya selesa dengan penginapan di hard rock penang. bilik yang selesa,kakitangan yang mesra, permandangan yang cantik, kolam yang mesra untuk kanak-kanak","I am comfortable with accommodation in penang hard rock. comfortable rooms, friendly staff, beautiful scenery, friendly pool for children","I'm comfortable with a stay at the hard rock penang. comfortable rooms, friendly staff, nice hotel, friendly pool for children"
"Percutian yang menarik di hotel yang bersih, bilik yang besar, kolam renang berkonsepkan pantai dan juga pantai yang cantik. Kanak-kanak pasti suka akan aktiviti yang boleh dilakukan terutamanya di kolam renang yang mempunyai gelongsor putar. Makanan yang disajikan juga sedap. Orang dewasa boleh mendengar dendangan lagu daripada pemuzik dan DJ yang hebat.Harga bilik boleh dikatakan agak tinggi namun tidak menghampakan","Fantastic holiday in this clean, large room, swimming pool and beach concept also beautiful beaches. Kids will love the activities that can be done, especially in the pool with sliding backward. The food served is also delicious. Adults can listen to tunes from musicians and DJs who hebat.Harga room is rather high, but did not disappoint","Attractive holiday hotel is a clean, large rooms, a swimming pool and beach beach concept. Children sure like to do especially in the swimming pool with slides. The food served is also delicious. Adults can listen to a rendition of the musician and DJ.The rate can be said to be relatively high but not annoyed"
"Penginapan yang bertaraf 5 bintang. Layanan kakitangan yang hebat, mempunyai semua kemudahan yang diperlukan, lokasi yang sesuai untuk ke night market dan restoran sajian makanan yang pelbagai. Kehidupan malam yang tidak membosankan dengan adanya live band dan suasana malam yang dingin dan tenang sesuai untuk semua golongan masyarakat yang ingin menginap di hotel ini. Harga penginapan yang berpatutan sesuai dengan kemudahan dan layanan yang di berikan.","5-star accommodation. Staff are great, have all the necessary amenities, ideal location for the night market and a restaurant serving a variety of foods. The night life is not boring with the live band and the atmosphere cool and calm night perfect for all communities who want to stay in this hotel. Prices reasonable accommodations in accordance with the facilities and services provided.","5 star world class lodging. Service is great, the accomplices have all conveniences necessary, the appropriate location for to night market and restaurant meals. Night life is not boring with a live band and a cold night and the atmosphere is calm according to all the people who want to stay at this hotel. Berpatutan lodging prices according to the convenience and the service given."
Sangat selesa..berdekatan dengan pantai..sesuai untuk seisi keluarga..rasa seperti dikelilingi bintang rock star yang terkemuka,Very comfortable .. close to the beach .. perfect for the whole family .. feel like a rock star surrounded by a leading star,"Very comfortable ...close to the ...suitable for the whole family ...feel like a rock star, surrounded by a star leading"
"Sebuah hotel mewah yang terletak di hujung pulau.makanan sarapan yang enak dan pelbagai dapat dinikmati. Check in dan check out tidak perlu tergesa2 dan tidak didesak utk chekout, bertimbangrasa.malam dengan alunan muzik,lampu yang banyak dan cantik","A luxury hotel located at the end pulau.makanan delicious breakfast and enjoyed. Check in and check out not to be tergesa2 and not be pressed for chekout, bertimbangrasa.malam with the music, lights and pretty much","A luxury hotel located at the tip of the island. the food clean and can be enjoyed. Check in and check out the need not tergesa2 and not fuelled for chekout, inconsiderate driving. night with undulating music, plenty of light and beautiful"
"Sepanjang penginapan kami, kami sangat berpuas hati kerana suasana hotel yang sangat teruja. bilik yang selesa cuma bilik air agak sedikit kecil. kemudahan wifi dan hifi dalam bilik juga membuagt kami sangat selesa sepanjang penginapan","During our stay, we were very pleased with the hotel atmosphere is very excited. comfortable but the bathroom quite a bit smaller. facilities in room wifi and hifi membuagt also very comfortable throughout our stay","During our stay, we are very satisfied because the atmosphere of the hotel is very excited. comfortable rooms but bathrooms are quite a bit smaller. wifi and hifi in the room also membuagt we are very comfortable during stay"
"Hotel yang begitu istimewa dan begitu mengagumkan dengan dekorasi dan susun atur dari lobi hotel hingga ke bilik. Pemandangan dari bilik ke pantai begitu indah serta kolam renang yang sangat cantik dan luas. Secara keseluruhan kami amat berpuashati dengan harga yang ditawarkan oleh Agoda dengan pengalaman yang tidak dapat di kata di Hard Rock Hotel, Penang.","Hotels are so special and so amazing decor and layout of the hotel lobby to the rooms. The view from the rooms to the beach is so beautiful and the pool is very beautiful and spacious. Overall we are very satisfied with the price offered by booking with experience that can not be said at the Hard Rock Hotel, Penang.","Hotel so special and so wonderfully decorated and bunk set from the hotel lobby to the booth. View from the booth to the beach is so beautiful and the pool was very nice and spacious. Overall we are very berpuashati with the price offered by Agoda with experience that could not be said at the Hard Rock Hotel, Penang."
"    Saya sangat berpuas hati dengan layanan yang diberikan oleh staff yang bertugas. Sangat sopan Dan berbudi bahasa. Bilik yang cantik, selesa, view juga menarik. Kanak-kanak juga pasti seronok bermain di kolam renang yang mmpunyai gelongsor air mini. Malamnya boleh bersantai sambil mendengar muzik. Sarapan pagi yang pelbagai memenuhi selera semua. Pasti Akan berkunjung lagi Dan kali ini ingin menginap di bilik blue lagoon kerana ia mengadap kolam renang. Sebelum pulang bolehlah singgah di hard rock shop untuk membeli pakaian atau barangan hard rock penang untuk kenang-kenangan.","I am very satisfied with the service provided by the staff on duty. Very polite and courteous. The rooms are beautiful, comfortable, view is also interesting. Kids will also enjoy playing in the pool aside from mini waterslide. Evening can relax while listening to music. A varied breakfast meet all tastes. Will definitely visit again and this time to stay in the room because it was facing the blue lagoon pool. Before returning may call at hard rock shop to buy clothes or stuff hard rock penang to reminiscence.","I am very satisfied with the service given by the staff on duty. Very polite and courteous. Beautiful, comfortable rooms, view also interesting. Children also will enjoy playing in the swimming pool that mmpunyai water slides. In the evening can relax while listening to music. Breakfast meet the tastes of all. Will definitely visit again and this time wanted to occupy the room blue lagoon as it is facing the swimming pool. Before returning may stop at the hard rock shop to buy clothes or items hard rock penang to remembrance."
"    saya tidak pernah pergi ke Pulau Pinang sebelum ini. Ini adalah perjalanan saya yang pertama ke pulau pinang dan saya memandu ke sana. saya mengharapkan untuk tinggal di hotel yang selamat dan rekaan dalaman yang menarik serta mendamaikan walaupun berada di tengah kota. saya juga mengharapkan tempat parking kereta yang cerah, mudah dan selamat kerana saya berjalan dengan beberapa ahli keluarga wanita yang sudah berusia dan uzur. Saya tidak pernah menginap di hotel sunway sebelum ini. Tapi hati saya mengatakan hotel ini akan memenuhi ciri-ciri yang saya kehendaki semasa berada di Georgetown nanti. Memang benar, Sunway hotel memenuhi ciri-ciri hotel yang saya inginkan. Walaupun Georgetown adalah kota yang sibuk tapi apabila memasuki hotel tak terasa berada di tempat yang sibuk","I never went to Penang before. This is my first trip to Penang and I drove there. I expect to stay in a safe and attractive interior design and reconcile despite being in the middle of the city. I also look forward to a bright car parking, convenient and secure as I walked with some family members of women who have aged and frail. I've never stayed in the hotel sunway before. But my heart says the hotel will meet the criteria I wanted while in Georgetown later. It is true, Sunway hotel meeting hotel features I want. While Georgetown is a bustling city, but upon entering the hotel I felt was a busy place","I never go to Penang. This is my first trip to Penang and I drive there. I expect to live in a hotel safe and attractive interior designs as well as reconcile even located in the heart of the city. I also look forward to a sunny place thumbs, easy and secure as I walked with several family members of women who are aged and sickly. I would never stay at sunway hotel. But my heart says this hotel will meet the characteristics that I want while at Georgetown. It's true, Sunway hotel meet the feature I want. Although Georgetown is a busy but when entering the hotel not feel is busy"
" bilik bersih dan rekaan dalam menarik, kakitangan yang mesra dan cekap dan sarapan pagi yang sedap. bilik yang luas, cantik dan bersih, rekaan dalam sangat simple dan menarik, berdekatan dengan shopping complex, kakitangan yang sangat cekap, mesra dan kemudahan internet di dalam bilik","the rooms are clean and attractive designs in, the staff were friendly and efficient and breakfast is delicious. spacious, beautiful and clean, very simple in design and attractive, near the shopping complex, the staff were very efficient, friendly and internet access in the room","rooms clean and elegantly designed in attractive, friendly and efficient staff and tasty breakfast. spacious rooms, beautiful and clean, the design is very simple and attractive, close to the shopping complex, staff very efficient, friendly and internet facilities in the room"
"bilik bersih, selesa dan pekerja mesra, memuaskan dan pasti akan kembali ke sini memandangkan keadaan yang bersih dan selesa","the rooms are clean, comfortable and friendly staff, satisfying and definitely will come back as a clean and comfortable","room clean, comfortable and staff friendly, good and will definitely return here in view of the circumstances which have clean and comfortable rooms"
Hotel di tengah bandar metropolitan yang agak sesak aliran trafik juga keadaan parkir yang agak terhad kerana ketika ini hotel mengadakan ubahsuai bangunan Bilik yang cantik dan selesa setelah diubahsuai dan staff yang sangat peramah,Hotel in the heart of metropolitan traffic flow is also quite crowded parking situation is somewhat limited due to the current renovation the hotel provides a beautiful and comfortable room after a modified and very friendly staff,Hotel in the heart of the metropolitan city is quite congested traffic flow situation relatively limited parking because we had hotel Rooms building renovations the beautiful and comfortable having renovated and staff very friendly
Hotel ini berdekatan dengan penang times square. Pada waktu malam terdapat pasar malam berdekatan dengan hotel ini,The hotel is close to Penang Times Square. At night there is a night market near this hotel,The Hotel is adjacent to the penang times square. At night there are night markets adjacent to the hotel
"hotel yang bagus untuk menginap sekiranya tidak mempunyai kenderaan...hotel terletak ditengah kota yang senang untuk diakses ke bandar dan teksi yang senang didapati di hadapan hotel...kekurangan hanya pada lokasi yang sukar untuk masuk dan parking yang terhad..lain-lain seperti bilik,sarapan pagi dan lokasi semuanya bagus.","a nice hotel to stay if they do not have a vehicle ... hotel is located in the middle of the city are readily accessible to the city and taxis are readily available in front of the hotel ... lacking only in locations difficult to access and limited parking .. etc. such as room, breakfast and location are all good.","good hotel to stay if you do not have a vehicle ... hotel is located conveniently in the city that is easy to reach the city and stray taxis in front of the hotel ... the lack of the site difficult to enter and parking is limited ...others like the room, breakfast and location are good."
Menyeronokan dan berpuashati dengan persekitaran tempat hotel. Dekat dengan tempat permainan luar dan juga dalam.,Exciting and are satisfied with the environment of the hotel. Close to outdoor games and also in.,Fun and satisfied with the environment. Close to the place outside and in the game.
Menyeronokkan dan berpuashati dengan persekitaran hotel dan taman permainan,Relaxed and satisfied with the hotel environment and playgrounds,Fun and were satisfied with the hotel and playground
"cuaca yang sejuk, bilik yang selesa, tandas yang bersih, boleh dengar azan berkumandang","cold weather, comfortable, clean restrooms, can hear the azan","the weather is cool, comfortable, clean toilets, can hear the Adhan resounding"
"Penginapan yang sangat seronok, bilik yang luas dari jangkaan harga yang diberikan.","Accommodation is very fun, spacious than expected given the price.","Very fun, spacious rooms of the anticipated price."
TEMPAT NI AMAT BESAR BILIKNYA ..UDARA NYAMAN SEKALI ..MAKANAN SEDAP SEDAP BELAKA ..PUSAT RIADAH YANG TERBAIK DI MALAYSIA .KU AMAT TERCINTA PADA PEMANDANGAN BUKIT GENTING HIGHLAND AND INDAH SEKALI BILA BERIADAH SAMA KELUARGA ,VERY BIG PLACE NI balmy room .. DELICIOUS DELICIOUS FOOD ONCE .. pure .. LEISURE CENTRE FOR THE BEST IN MALAYSIA. KU VERY beloved BUKIT GENTING HIGHLAND VIEW THE BEAUTIFUL AND ONCE WHEN THE SAME FAMILY Play,THIS PLACE IS VERY LARGE;.COOL AIR AT ALL ...NICE TASTY..BEST RECREATIONAL CENTER IN MALAYSIA.KU IS BELOVED AT HILL VIEW GENTING HIGHLAND AND BEAUTIFUL ONCE WHEN THE SAME RECREATION FAMILY
sangat selesa...sesuai untuk mereka yang sukakan keriangan kota theme park..,very comfortable ... perfect for those who love the excitement of theme park ..,very comfortable ... perfect for those who love fun city theme park ...
sangat berhampiran dengan taman tema luar dan bilik yang agak selesa,very close to the outdoor theme park and the rooms are quite comfortable,very close to the theme parks and a relatively comfortable rooms
"sederhana sahaja,namun sangat selesa mungkin kerana hotel berada di kawasan tanah tinggi .","mild, but very uncomfortable probably because the hotel is located in the highlands.","simple, yet very comfortable probably because the hotel is in an area of high land."
"Theme Park Hotel menyediakan penginapan yang selesa bagi pengunjung yang ingin berhibur sepuas-puasnya di outdoor theme park kerana kedudukan hotel ini betul-betul di sebelah taman permainan berkenaan. Dari segi keselesaan, hotel ini menyediakan bilik yang luas dan cukup selesa. Walau bagaimanapun, pengunjung perlu berjalan kaki agak jauh sedikit jika mahu ke indoor theme park. Di bawah hotel terdapat beberapa restoran dan mesin pengeluaran wang automatik.","Theme Park Hotel provides comfortable accommodation for visitors who want to entertain your hearts content at the outdoor theme park as the hotel is right next to the playground. In terms of comfort, the hotel offers spacious and comfortable enough. However, visitors have to walk a bit further along if you want to the indoor theme park. Under the hotel there are several restaurants and automated teller machines.","Theme Park Hotel provides comfortable accommodation for visitors who want to be entertained as possible at the outdoor theme park as the hotel is right next to the playground. In terms of comfort, this hotel provides spacious rooms and comfortable enough. However, visitors need to walk quite far a little if you want to the indoor theme park. Below the hotel there are several restaurants and automatic money machine."
"servis di kaunter yang baik dan pantas, bilik yang luas dan selesa, pemandangan yang cantik sebelum waktu malam dan suasana yang tenang dan dingin","Good counter service and fast, spacious and comfortable, the scenery is beautiful by night and the atmosphere is calm and cool","counter service is good and fast, spacious and comfortable rooms, beautiful views before the evening and quiet atmosphere and conditioning"
"Satu pengalaman yang baik tinggal di sini, hanya beberapa restoran chinese kurang pilihan kedudukan hotel yang amat bersesuaian mudah untuk pergi ke lain2 tempat.Layanan staff yg baik dan peramah.Bersih dan selesa .keseluruhan ok. Hotel yang baik untuk mereka2 yg ingin ge Genting Highland.","A good experience to stay here, just some chinese restaurant less preferred position is preferred hotel convenient to go to lain2 tempat.Layanan good fellow staff and peramah.Bersih and comfortable. Overall ok. Hotels that are good for mereka2 want to Genting Highland.","A good experience staying here, only a few restaurant chinese less choice of the hotel is very suitable for easy to go to lain2 site.Good staff service, and friendly.Clean and comfortable accommodations. overall ok. Good Hotel for mereka2 to Genting Highland."
