Malay Comments,Google Translate,Bing Translate
"Pada pendapat saya, segala perkhidmatan dan kemudahan penginapan adalah di tahap yang terbaik tetapi kebanyakan daripada penginap dan tinggal di sana mengahadapi masalah semasa keluar dari parking. Iaitu masalah hendak validate ticket. Bukan hanya berlaku pada saya sahaja bahkan kepada 2 @ 3 penginap yang lain juga bersama dengan saya. Harap pihak hotel dapat mengatasi masalah ini. terima kasih","In my opinion, all the services and accommodation facilities are top notch, but most of the lodger and stay there mengahadapi problems while out of the parking. That is a problem to validate the ticket. Not only happen to me only but also to 2 @ 3 other lodger also with me. Hope the hotel can address this problem. thank you","In my opinion, services and accommodation is at the level of the best but most of the people and stayed there mengahadapi a problem when out of parking. On the other hand, the problem you want to validate. Not just happens to me only but also to 2 @ 3 people others along with me. Hope the hotel will be able to overcome this problem. Thank you"
"Saya di lantai 3 bersama ibu saya. Selain kelebihan-kelebihan diatas, ada hal yang cukup mengganggu, iaitu suara bising muzik dari bar di bawah. Semula saya pikir kerana malam minggu. ternyata keesokan harinya juga sama. musik keras berlangsung sejak pukul 10 malam sampai dengan pukul 3 pagi. sangat mengganggu waktu istirehat tidur. Kecuali kita berniat joint di bar tersebut, mungkin sebaiknya minta kamar di lantai yang lebih tinggi lebih tenang.","I was on the 3rd floor with my mother. In addition to the above advantages, there is something quite disturbing, the music noise from the bar below. I think because the night of the week. turned out the next day is the same. loud music going on since 10pm until 3am. very disturbing sleep relaxation time. Unless we intend joint at the bar, probably should ask rooms on the higher floors quieter.","I am on the 3rd floor with my mother. In addition to the advantages listed above, there are things that are pretty annoying, which is the noise music from the bar below. Originally I thought that Saturday night. It is also the same the next day. loud music lasted from 10 pm until 3 am. very disturbing sleep istirehat time. Unless we intend to joint in the bar, maybe you should ask for a room on a higher floor."
" kami diberi bilik hotel di tower 2, level 1 (di hujung hallway). sangat jauh bagi saya yang sarat mengandung 8 bulan dengan anak umur setahun. sangat kecewa kerana dari bilik boleh lihat kawasan pembinaan. pembinaan mula dari 8pagi hingga malam. kedengaran jentera dan juga pekerja bergaduh. sangat tidak selesa, malah anak sangat susah tidur kerana bising.","we were given a room in tower 2, level 1 (at the end of the hallway). so much for my 8 months pregnant with a child one year of age. very disappointed that the room can see the construction site. construction starts from 8am till night. sounds of machinery and workers fighting. very uncomfortable, but children are very difficult to sleep because of noise.","We were given hotel rooms in tower 2, level 1 (at the end of the hallway). very much for me that heavily pregnant 8 months with the age of a year. very disappointed because of the room can see the construction areas. construction started from 8pagi till the night. sound machinery and also employees of the bully. very uncomfortable, in fact its very difficult to sleep because of the noise."
"Harga mahal, bilik tak selesa, kebersihan patut perlu ada, lebih2 lagi untuk hotel yang menggunakan lantai karpet.. Bahaya untuk orang yang alergi..
","The price is expensive, uncomfortable rooms, cleanliness should be there, lebih2 yet to hotel use carpet flooring .. danger to people with allergies .. 
","""The price of expensive, rooms are comfortable, hygienic fit there needs to be, lebih2 to the hotel using the floor carpet ... A hazard to people allergic ..."
"Kehilangan 2 bentuk cincin perkahwinan yang disimpan didalam beg tangan dan diletakkan di bawah meja, tempat yang tersorok.. Beg baju yang ditinggalkan di dalam bilik didapati diselongkar oleh pengemas bilik, mungkin untuk mencuri barang-barang yang berharga.","Losing two wedding rings and stored in bags and placed a hand under the table, hidden place .. Bag shirts left in the room by housekeeping rooms available diselongkar, perhaps to steal valuable items.","Loss of 2 form of wedding rings that are stored in a handbag and placed under dining, secluded ... Shirt bag left in the room were found to be diselongkar by pengemas room, probably to steal valuable items."
penginapan bagus tapi bilik kali ini sangat tidak selesa dan berbau.pemandangan tidak selesa,stay was nice but the room is very uncomfortable and uneasy berbau.pemandangan,stay nice but the room was very uncomfortable and inconvenient view stinks.
"Saya amat berpuas hati dengan persekitaran hotel,cuma servis di kaunter kurang memuaskan lebih2 lagi di kaunter 11,layanan tidak mesra dan tidak senyum pada pelanggan.Staff tersebut wanita melayu dan berkacamata.Saya hanya meminta untuk tukar bilik sebab saya tidak puas hati dengan bilik yang saya dapat,dia membaling kad hotel dihadapan saya dan pasangan,bila bertanya beliau menjwb dengan sambil lewa dan tidak senyum pada pelanggan.Diharap pihak hotel tidak meletakkan staff yg kurang bagus di kaunter.First World hotel adalah hotel antarabangsa jadi diharap staff disitu yg berkelayakan untuk bertugas dikaunter","I am very satisfied with the hotel, but poor service counter in the counter 11 lebih2 again, unfriendly service and does not smile at the woman pelanggan.Staff berkacamata.Saya Malay and only ask to change rooms because I was not happy with the room I could, she threw this card in front of me and a mate, when he asked menjwb with complacency and smiles at the hotel pelanggan.Diharap not put a good half-staff in kaunter.First World hotel is an international hotel so hopefully YG in Britain qualified staff to serving counter","I am very satisfied with the hotel, just service at the cowboy lebih2 again at the 11, unfriendly service and not smile at customers.The Staff women and berkacamata.I only ask to change rooms because I'm not satisfied with the room I got, he throws the hotel card before me and spouse, when asked he menjwb with lip and smile at customers.It is hoped that the hotel does not put great staff good at the counter.First World hotel is an international hotel so it is hoped that staff very qualified to stand still on duty at the following"
"Breakfast harga mahal perkerja sombong,parking susah.cuma biasa tak berapa berbaloi sebab harga mahal.kecuali berdekatan komtar dan plaza sahaja.","Breakfast expensive price arrogant workers, parking common susah.cuma not very worthwhile cause mahal.kecuali prices near Komtar and only plaza.","Breakfast expensive price release their arrogant, parking it. just an ordinary how worth it because the price expensive. except near komtar and plaza."
kolam renang tidak boleh digunakan menyebabkan anak saya komplen dan tiada nilai tambah,pool can not be used cause my son complained and no value added,outdoor swimming pool cannot be used cause my son komplen and no added value
"Hotel yang selesa untuk urusan perniagaan dan kerja harian. Walau bagaimanapun, kurang sesuai untuk tujuan percutian keluarga.","This comfortable hotel for both business and daily work. However, less suitable for a family holiday.","A comfortable Hotel for both business and daily work. However, less suitable for a family vacation."
Mula-mula sampai nak check in dah mendapat layanan kurang mesra dari staff nya. lokasi hotel dan kebersihan bilik di tahap memuaskan. bufet breakfast sangat mengecewakan.,First want to check in've got less friendly service from its staff. hotel location and cleanliness satisfactory. Buffet breakfast is very disappointing.,"First get to check in and get less service from friendly staff. the location of the hotel and the cleanliness of the rooms, the level of satisfaction. buffet breakfast very disappointing."
"penginapan di First World hotel tidak mempunyai apa-apa masalah besar. Bilik agak kecil tapi selesa, tidak mempunyai penghawa dingin walaupun bilik Superior.","accommodation at First World Hotel does not have any major problems. Room quite small but comfortable, no air conditioning though Superior.","at the First World hotel does not have any big problem. Small rooms but comfortable, not having air conditioning even Superior."
 Hotel di puncak Genting yang mempunyai suasana keindahan alam yang damai. Layanan dari kakitangan amatlah memuaskan hati. lokasi paling hampir dengan Taman Tema dan senang untuk berulang alik. Tempahan tiada dalam tempahan dan kami terpaksa membayar harga yang mahl untuk 1 set sarapan,At the peak of Genting Hotel has a peaceful atmosphere of natural beauty. Service from the staff is very satisfactory. location closest to the theme park and easy to commute. No reservations in booking and we had to pay a high price for 1 set of breakfast,Hotels in Genting tops that have a natural beauty. Hospitality from the staff is satisfaction. location closest to the theme park and easy to commute. Recently there are in and we had to pay a price for 1 set of mahl breakfast
"bilik yang ditawarkan sangat cantik, sesuai untuk bermalam. cuma hotel tak ada tingkap dan receptionist taraf kerja kedai runcit sahaja. Harap cari receptionist lain la. tak padan dengan hotel yang cantik","all are very beautiful, perfect for the night. only hotel receptionist no windows and the shop work status. We are looking for another receptionist la. misfit with a beautiful hotel","rooms offered are very beautiful, ideal to spend the night. the only hotel there is no Windows and is not expensive to work in retail stores only. Please search other la is not expensive. not match this beautiful"
"sepanjang penginapan,kami hanya selesa berada di dalam bilik. ruang lobby yang kurang besar.sarapan pagi pula hanya menghidangkan menu barat tidak ada pilihan yang menarik. keadaan luar hotel sesak dan parking yang disediakan hotel perlu lebih selamat ","relaxation, we just stay in the room. lobby spaces that are less besar.sarapan morning just west serves no attractive options. outside the crowded and parking provided by the hotel to be more secure","during the stay, we just comfortable to be in the room. the less decoration. breakfast only serves West there is no attractive options. the situation outside the hotel and parking the hotel should be more secure"
"Check in pantas dan senang tapi tiada free wifi dalam bilik, iron pun tiada untuk kegunaan dalam bilik. harga yang mahal dan tidak sesuai untuk perkhidmatan seperti ini kerana ada hotel lain di bandar melaka yang jauh lebih murah tetapi ada wifi yang laju dan free breakfast dan juga ada kolam renang yang besar serta lebih selesa, overall, not worth it.","Check in is quick and easy, but there is no free wifi in the room, no iron was to use the room. price is expensive and is not suitable for this service because there are other hotels in the city of Malacca which is much cheaper, but there is a fast wifi and free breakfast and there is also a large swimming pool as well as more comfortable, overall, not worth it.","Check in quick and easy but there are no free wifi in the room, the iron already there for use in the room. price is expensive and is not suitable for this kind of service because there are other hotels in Malacca town which is much cheaper but there is a fast Wi-Fi and free breakfast and there is also a large swimming pool and more comfortable, overall, not worth it."
Bilik perlu ada penyelenggaraan yang berterusan. Bath tub perlu dibersihkan dan senggarakan.,Rooms have no ongoing maintenance. Bath tubs should be cleaned and maintained.,The room there should be ongoing maintenance. Bath tub should be cleaned and senggarakan.
"makanan sarapan tidak sedap, tidak memuaskan. tv tiada remote control aircond tidak memuaskan(panas)","breakfast food is delicious, is not satisfactory. tv remote control no aircond unsatisfactory (hot)","the breakfast food is not tasty, not satisfactory. no tv but the remote control is not satisfactory (hot)"
Lokasi yang sesuai untuk pelancong mendapatkan pelbagai kemudahan seperti makanan dan hiburan. Hotel berhampiran dengan laut yang terbentang luas. Makanan sesuai dengan kosnya dan pekerja yang peramah tetapi kami menghadapi masalah meletak kereta pada sebelah malam.,"The location is ideal for tourists to get a variety of amenities such as food and entertainment. Hotels vast sea. According to the cost of food and friendly staff, but we have problems parking in the evening.",An ideal location for travellers to obtain various facilities such as food and entertainment. Hotels close to the sea that stretched wide. Food in accordance with their cost and staff friendly but we have a problem parking in the evening.
Penginapan menarik tetapi facilities tidak dijaga seperti air cond yang bunyi kuat dan bocor,Accommodation interesting but not taken care facilities such as air conditioner is loud and leaking,Stay great facilities such as an unattended water conditioner is loud and leaking
Taman-taman tema berada di persekitaran kawasan kondo. Pakej tidak termasuk breakfast dan makan. Harus keluar dari kawasan kondo untuk makan dan minum. Dapat kondo floor 22 (top) so tekanan air di bilik air kurang memuaskan. Terdapat ruangan pantry tetapi DILARANG MEMASAK. Overall puashati sebab dapat gembirakan anak-anak.,"Theme parks in the vicinity of the condo. Package does not include breakfast and other meals. Should be out of the condo to eat and drink. Can condo floor 22 (top) so the water pressure in the bathroom is not satisfactory. There is a large pantry, but NOT COOKING. Overall satisfied can be good news because the kids.",Theme parks are in the vicinity of the area kondo. Packages include breakfast and dinner. Should be out from kondo to eat and drink. Can condo floor 22 (top) so the water pressure in the bathroom. There is a pantry space but are PROHIBITED FROM cooking. Overall parking lot because being able to surprise children.
Bilik hotel ok tapi time checkin agak lewat pukul 3 petang. Tempat parking kereta yg kurang dan terpaksa parking kereta agak jauh.,The hotel room is ok but a bit late checkin time 3pm. Public parking undernourished and had pretty much a parking space.,Rooms are ok but quite late at the time checkin 3 pm. Free car parking is very less and had to car parking far away.
"Banglo mempunyai 4 bilik yang luas dan 2 dari 4 bilik mempunyai tv sendiri di dalam bilik. Bilik, dapur dan ruang tamu direka dalam keadaan tersusun menyebabkan banglo tersebut mempunyai ruang yang sangat luas bagi anak-anak kecil bermain. Banglo ini mempunyai akses terus ke kolam renang memudahkan saya dan keluarga memantau anak-anak bermain di kolam renang dan bbq. Walau bagaimanapun air di kolam renang tersebut tidak ditukar menyebabkan rasanya kurang enak.","The bungalow has 4 spacious rooms and 2 of the 4 bedrooms have their own tv in the room. Room, kitchen and living room designed in a structured cause the bungalows have a very wide space for small children to play. This bungalow has direct access to the pool easy for me and the family to monitor their children play in the pool and bbq. However, the water in the pool is not changed cause it feels out of sorts.","Bungalow has 4 spacious rooms and 2 of 4 rooms have their own tv in the room. Room, kitchen and living room designed in a structured cause the bungalow have very wide for small children play. This bungalow has a direct access to the outdoor swimming pool make it easy I and family monitoring the kids play in the pool and bbq. However the water in the pool has not been changed cause it feels unpleasant."
"Tempat yang selesa, tetapi perkhidmatan yang lambat sedikit, kerana pada malam hari, kami balik dari bersiar-siar, pintu hotel tidak boleh dibuka, lebih kurang pukul 11.30 malam, apabila saya memberitahu pihak hotel, mereka mengambil masa yang lama untuk datang membuka pintu iatu 45 minit, memandangkan kami membawa anak-anak kecil sehingga mereka meragam kerana duduk diluar pintu terlau lama","Comfortable place, but service a little slow, because at night, we returned from sightseeing, the door can not be opened, at about 11.30 pm, when I told the hotel, they take a long time to come open the door, which was between 45 minutes, as we bring small children to sing because they sit outside the door Too long","Comfortable place, but the service a little slow, because in the evening, we back from sightseeing, hotel doors cannot be opened, approximately at 11.30 pm, when I told the hotel, they take a long time to come open the door such as 45 minutes, as we bring small children so they fuss because sitting outside the gates of the old terlau"
