Google_Translate,Clean_Text,Sentiment
"Service is very friendly staff made ??us very comfortable family stay. Decoration of the hotel is very interesting and quite different from the hotel occupancy hotel ever before. Services in a relaxing spa experience. Hotel is located close to klcc, can walk or rent buggy (also an interesting experience). 
Tip Puller Attention / Sights: If select room facing klcc, very interesting views can be seen at night because you can see the light spill from klcc ",  Service    friendly    staff    made    us    comfortable    family    stay    Decoration    hotel    interesting    quite    different    hotel    occupancy    hotel    ever    Services    relaxing    spa    experience    Hotel    located    close    klcc    walk    rent    buggy    also    interesting    experience    Tip    Puller    Attention    Sights    select    room    facing    klcc    interesting    views    seen    night    see    light    spill    klcc  ,Positive
"Our family stayed one night and found this hotel very much to our satisfaction. near klcc allow our family to go enjoy lunch and dinner with ease. booked rooms facing klcc give beautiful views, especially at sunset.",  family    stayed    one    night    found    hotel    much    satisfaction    near    klcc    allow    family    go    enjoy    lunch    dinner    ease    booked    rooms    facing    klcc    give    beautiful    views    especially    sunset  ,Positive
Mid-sized room but clean. Good breakfast food options. Places of entertainment only on the ground floor of the hotel (Hard Rock Cafe) Kuala Lumpur. Menara Kuala Lumpur nearby. Bukit Nenas Monorail Station is only 100m from the hotel,  Midsized    room    clean    Good    breakfast    food    options    Places    entertainment    ground    floor    hotel    Hard    Rock    Cafe    Kuala    Lumpur    Menara    Kuala    Lumpur    nearby    Bukit    Nenas    Monorail    Station       m    hotel  ,Positive
"Hotel is on the top of a shopping Pavillion, Lot10. very suitable for couples who want to go shopping. is not feasible to bring children who are due to the relatively small size of the room and the room layout and the water sinks rather pelik.Sungguh good and satisfactory service, the room was so full and satisfying when we ask for something we were treated well",  Hotel    top    shopping    Pavillion    Lot      suitable    couples    want    go    shopping    not    feasible    bring    children    due    relatively    small    size    room    room    layout    water    sinks    rather    pelikSungguh    good    satisfactory    service    room    full    satisfying    ask    something    treated    well  ,Positive
"I am comfortable with accommodation in penang hard rock. comfortable rooms, friendly staff, beautiful scenery, friendly pool for children",  comfortable    accommodation    penang    hard    rock    comfortable    rooms    friendly    staff    beautiful    scenery    friendly    pool    children  ,Positive
"Fantastic holiday in this clean, large room, swimming pool and beach concept also beautiful beaches. Kids will love the activities that can be done, especially in the pool with sliding backward. The food served is also delicious. Adults can listen to tunes from musicians and DJs who hebat.Harga room is rather high, but did not disappoint",  Fantastic    holiday    clean    large    room    swimming    pool    beach    concept    also    beautiful    beaches    Kids    love    activities    done    especially    pool    sliding    backward    food    served    also    delicious    Adults    listen    tunes    musicians    DJs    hebatHarga    room    rather    high    not    disappoint  ,Positive
"5-star accommodation. Staff are great, have all the necessary amenities, ideal location for the night market and a restaurant serving a variety of foods. The night life is not boring with the live band and the atmosphere cool and calm night perfect for all communities who want to stay in this hotel. Prices reasonable accommodations in accordance with the facilities and services provided.",   star    accommodation    Staff    great    necessary    amenities    ideal    location    night    market    restaurant    serving    variety    foods    night    life    not    boring    live    band    atmosphere    cool    calm    night    perfect    communities    want    stay    hotel    Prices    reasonable    accommodations    accordance    facilities    services    provided  ,Positive
Very comfortable .. close to the beach .. perfect for the whole family .. feel like a rock star surrounded by a leading star,  comfortable    close    beach    perfect    whole    family    feel    like    rock    star    surrounded    leading    star  ,Positive
"A luxury hotel located at the end pulau.makanan delicious breakfast and enjoyed. Check in and check out not to be tergesa2 and not be pressed for chekout, bertimbangrasa.malam with the music, lights and pretty much",  luxury    hotel    located    end    pulaumakanan    delicious    breakfast    enjoyed    Check    check    not    tergesa     not    pressed    chekout    bertimbangrasamalam    music    lights    pretty    much  ,Positive
"During our stay, we were very pleased with the hotel atmosphere is very excited. comfortable but the bathroom quite a bit smaller. facilities in room wifi and hifi membuagt also very comfortable throughout our stay",  stay    pleased    hotel    atmosphere    excited    comfortable    bathroom    quite    bit    smaller    facilities    room    wifi    hifi    membuagt    also    comfortable    throughout    stay  ,Positive
