ADJ_Text,Score
friendly,1
comfortable,1
interesting,1
different,1
select,1
much,1
beautiful,1
Midsized,1
clean,1
Good,1
Hard,1
suitable,1
not,1
feasible,1
due,1
small,1
good,1
satisfactory,1
full,1
large,1
high,1
great,1
necessary,1
ideal,1
boring,1
cool,1
perfect,1
reasonable,1
whole,1
pretty,1
excited,1
smaller,1
special,1
amazing,1
spacious,1
satisfied,1
courteous,1
waterslide,1
varied,1
safe,1
attractive,1
bright,1
convenient,1
secure,1
aged,1
true,1
busy,1
efficient,1
simple,1
crowded,1
current,1
nice,1
accessible,1
available,1
front,1
difficult,1
Exciting,1
Close,1
outdoor,1
pure,1
uncomfortable,1
enough,1
indoor,1
several,1
less,1
short,1
adjacent,1
easy,1
quick,1
happy,1
best,1
excellent,1
selesaMudah,1
old,1
helpful,1
local,1
public,1
Strategic,1
many,1
romantic,1
strategic,1
seaside,1
narrow,1
heavy,1
Suitable,1
tasty,1
active,1
slow,1
interested,1
Easy,1
direct,1
broad,1
Special,1
disturbing,-1
joint,-1
higher,-1
much,-1
pregnant,-1
disappointed,-1
uncomfortable,-1
difficult,-1
expensive,-1
available,-1
valuable,-1
nice,-1
uneasy,-1
satisfied,-1
poor,-1
not,-1
happy,-1
front,-1
good,-1
qualified,-1
arrogant,-1
common,-1
worthwhile,-1
comfortable,-1
less,-1
suitable,-1
friendly,-1
satisfactory,-1
disappointing,-1
small,-1
peaceful,-1
natural,-1
closest,-1
easy,-1
high,-1
beautiful,-1
perfect,-1
attractive,-1
crowded,-1
secure,-1
quick,-1
free,-1
cheaper,-1
large,-1
worth,-1
ongoing,-1
remote,-1
unsatisfactory,-1
hot,-1
ideal,-1
vast,-1
interesting,-1
Public,-1
undernourished,-1
pretty,-1
spacious,-1
structured,-1
wide,-1
direct,-1
Comfortable,-1
little,-1
slow,-1
open,-1
messy,-1
quiet,-1
unattractive,-1
exciting,-1
dangerous,-1
equivalent,-1
inadequate,-1
normal,-1
plain,-1
faulty,-1
clean,-1
dibayarStaff,-1
useless,-1
adjacent,-1
uncluttered,-1
encouraging,-1
spare,-1
basic,-1
narrow,-1
regular,-1
dusty,-1
low,-1
rude,-1
better,-1
Poor,-1
bright,-1
many,-1
Dirty,-1
unpleasant,-1
bad,-1
due,-1
extra,-1
excessive,-1
Necessary,-1
sufficient,-1
Small,-1
