ADJ_Text,Score
accessible,1
active,1
aged,1
amazing,1
arrogant,-1
attractive,1
available,1
bad,-1
basic,-1
beautiful,1
best,1
better,-1
boring,1
bright,1
broad,1
busy,1
cheaper,-1
clean,1
Close,1
closest,-1
comfortable,1
Comfortable,-1
common,-1
convenient,1
cool,1
courteous,1
crowded,-1
current,1
dangerous,-1
dibayarStaff,-1
different,1
difficult,-1
direct,1
Dirty,-1
disappointed,-1
disappointing,-1
disturbing,-1
dusty,-1
easy,1
Easy,1
efficient,1
encouraging,-1
enough,1
equivalent,-1
excellent,1
excessive,-1
excited,1
Exciting,1
exciting,-1
expensive,-1
extra,-1
faulty,-1
feasible,1
free,-1
friendly,1
full,1
Good,1
good,1
great,1
happy,1
Hard,1
heavy,1
helpful,1
higher,-1
hot,-1
ideal,1
inadequate,-1
indoor,1
interested,1
interesting,1
joint,-1
large,1
less,-1
little,-1
local,1
low,-1
messy,-1
Midsized,1
narrow,-1
natural,-1
necessary,1
Necessary,-1
nice,1
normal,-1
not,-1
old,1
ongoing,-1
open,-1
outdoor,1
peaceful,-1
perfect,1
plain,-1
poor,-1
Poor,-1
pregnant,-1
pretty,1
public,1
Public,-1
pure,1
qualified,-1
quick,1
quiet,-1
reasonable,1
regular,-1
remote,-1
romantic,1
rude,-1
safe,1
satisfactory,1
satisfied,1
seaside,1
secure,1
select,1
selesaMudah,1
several,1
short,1
simple,1
slow,-1
small,-1
Small,-1
smaller,1
spacious,1
spare,-1
special,1
Special,1
Strategic,1
strategic,1
structured,-1
sufficient,-1
suitable,1
Suitable,1
tasty,1
unattractive,-1
uncluttered,-1
uncomfortable,-1
undernourished,-1
uneasy,-1
unpleasant,-1
unsatisfactory,-1
useless,-1
valuable,-1
varied,1
vast,-1
waterslide,1
whole,1
wide,-1
worth,-1
worthwhile,-1
TRUE,1
